lead_ref,whatsapp_anon,fecha_hora,origen,mensaje
L12,549261*****12,2026-07-03T18:49:36.895702Z,LEAD,corte + barba. dni ******65
L12,549261*****12,2026-07-03T18:49:36.902708Z,BOT,Ya tomé tus datos para el corte + barba. Te vamos a contactar para coordinar tu turno y dejar todo listo.
L13,549261*****13,2026-07-08T19:38:33.957797Z,LEAD,"hola, precio del corte?"
L13,549261*****13,2026-07-08T19:38:33.996540Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L13,549261*****13,2026-07-08T19:38:34.000914Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L13,549261*****13,2026-07-08T19:40:35.735583Z,LEAD,"listo, reservo"
L13,549261*****13,2026-07-08T19:40:35.756295Z,BOT,"Perfecto, para avanzarte con la reserva necesito tu número de DNI y si querés solo el corte de pelo o el combo de corte + barba. ¿Me pasás esos datos así te agendo?"
L13,549261*****13,2026-07-08T19:41:48.070289Z,LEAD,"solo corte, ******12"
L13,549261*****13,2026-07-08T19:41:48.094651Z,BOT,Ya tomé tus datos para el corte de pelo. Te vamos a contactar para coordinar tu turno y dejar todo listo.
L14,549261*****14,2026-07-11T14:41:13.622740Z,LEAD,Hola! quería sacar un turno
L14,549261*****14,2026-07-11T14:41:13.655850Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L14,549261*****14,2026-07-11T14:41:13.674494Z,BOT,"Perfecto, para avanzarte con la reserva necesito tu número de DNI y si querés solo el corte de pelo o el combo de corte + barba. ¿Me pasás esos datos así te agendo?"
L14,549261*****14,2026-07-11T14:43:36.431751Z,LEAD,el combo corte + barba
L14,549261*****14,2026-07-11T14:45:14.020184Z,LEAD,******72
L14,549261*****14,2026-07-11T14:45:14.049997Z,BOT,Ya tomé tus datos para el corte + barba. Te vamos a contactar para coordinar tu turno y dejar todo listo.
L15,549261*****15,2026-07-14T21:05:58.297698Z,LEAD,"Buenas, quiero reservar"
L15,549261*****15,2026-07-14T21:05:58.327874Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L15,549261*****15,2026-07-14T21:05:58.351877Z,BOT,"Perfecto, para avanzarte con la reserva necesito tu número de DNI y si querés solo el corte de pelo o el combo de corte + barba. ¿Me pasás esos datos así te agendo?"
L15,549261*****15,2026-07-14T21:09:06.710746Z,LEAD,Corte de pelo. DNI ******81
L15,549261*****15,2026-07-14T21:09:06.752971Z,BOT,Ya tomé tus datos para el corte de pelo. Te vamos a contactar para coordinar tu turno y dejar todo listo.
L15,549261*****15,2026-07-14T21:11:14.746898Z,HUMANO,"Hola Tomás, te confirmo el turno para el sábado 10 h. ¿Te queda bien?"
L16,549261*****16,2026-07-17T21:32:11.932237Z,LEAD,hola quiero turno corte y barba
L16,549261*****16,2026-07-17T21:32:11.942692Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L16,549261*****16,2026-07-17T21:32:11.968903Z,BOT,"Perfecto, para avanzarte con la reserva necesito tu número de DNI y si querés solo el corte de pelo o el combo de corte + barba. ¿Me pasás esos datos así te agendo?"
L16,549261*****16,2026-07-17T21:32:40.905044Z,LEAD,"corte + barba, ******56"
L16,549261*****16,2026-07-17T21:32:40.944040Z,BOT,Ya tomé tus datos para el corte + barba. Te vamos a contactar para coordinar tu turno y dejar todo listo.
L17,549261*****17,2026-07-18T21:42:20.333341Z,LEAD,hola
L17,549261*****17,2026-07-18T21:42:20.339094Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L17,549261*****17,2026-07-19T00:15:43.402252Z,BOT,"Hola Emiliano, te escribimos desde RHbarber. Quedamos a disposición para cualquier consulta 🙌"
L18,549261*****18,2026-07-22T18:02:42.603169Z,LEAD,precio corte de pelo?
L18,549261*****18,2026-07-22T18:02:42.620509Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L18,549261*****18,2026-07-22T18:02:42.639708Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L18,549261*****18,2026-07-22T20:41:51.881900Z,BOT,"Hola Antonella, te escribimos desde RHbarber. Quedamos a disposición para cualquier consulta 🙌"
L19,549261*****19,2026-07-28T17:38:07.226397Z,LEAD,hola queria consultar unas cosas
L19,549261*****19,2026-07-28T17:38:07.235281Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L19,549261*****19,2026-07-28T20:00:41.928183Z,BOT,"Hola Federico, te escribimos desde RHbarber. Quedamos a disposición para cualquier consulta 🙌"
L20,549261*****20,2026-07-29T17:46:43.935621Z,LEAD,buenas
L20,549261*****20,2026-07-29T17:46:43.973904Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L20,549261*****20,2026-07-29T19:42:41.040139Z,BOT,"Hola Micaela, te escribimos desde RHbarber. Quedamos a disposición para cualquier consulta 🙌"
L21,549261*****21,2026-07-30T19:44:13.039711Z,LEAD,"Hola, turno para corte"
L21,549261*****21,2026-07-30T19:44:13.047350Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L21,549261*****21,2026-07-30T19:44:13.051807Z,BOT,"Perfecto, para avanzarte con la reserva necesito tu número de DNI y si querés solo el corte de pelo o el combo de corte + barba. ¿Me pasás esos datos así te agendo?"
L21,549261*****21,2026-07-30T19:45:47.254402Z,LEAD,"corte de pelo, ******54"
L21,549261*****21,2026-07-30T19:45:47.276324Z,BOT,Ya tomé tus datos para el corte de pelo. Te vamos a contactar para coordinar tu turno y dejar todo listo.
L21,549261*****21,2026-07-30T20:02:19.544286Z,HUMANO,"Listo Gonzalo, te esperamos el jueves 11 h."
L22,549261*****22,2026-07-31T21:01:06.428404Z,LEAD,"corte y barba, tienen lugar mañana?"
L22,549261*****22,2026-07-31T21:01:06.470445Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L22,549261*****22,2026-07-31T21:01:06.473947Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L22,549261*****22,2026-07-31T21:29:26.681680Z,HUMANO,"Hola Belén, mañana tenemos a las 17 h. ¿Te sirve?"
L22,549261*****22,2026-07-31T21:55:14.681991Z,LEAD,"sí perfecto, ahí voy"
L23,549261*****23,2026-08-06T17:30:21.802197Z,LEAD,"hola, quiero sacar turno"
L23,549261*****23,2026-08-06T17:30:21.821934Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L23,549261*****23,2026-08-06T17:30:21.851487Z,BOT,"Perfecto, para avanzarte con la reserva necesito tu número de DNI y si querés solo el corte de pelo o el combo de corte + barba. ¿Me pasás esos datos así te agendo?"
L23,549261*****23,2026-08-06T17:33:53.580992Z,LEAD,corte de pelo. ******83
L23,549261*****23,2026-08-06T17:33:53.594858Z,BOT,Ya tomé tus datos para el corte de pelo. Te vamos a contactar para coordinar tu turno y dejar todo listo.
L23,549261*****23,2026-08-06T19:24:58.698535Z,BOT,"Hola Ramiro, te escribimos desde RHbarber. Quedamos a disposición para cualquier consulta 🙌"
L23,549261*****23,2026-08-06T19:50:23.297088Z,LEAD,"sí dale, el viernes puedo"
L24,549261*****24,2026-08-14T20:07:56.189155Z,LEAD,"Buen día, precio del corte?"
L24,549261*****24,2026-08-14T20:07:56.226084Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L24,549261*****24,2026-08-14T20:07:56.234569Z,BOT,"El corte de pelo está a $14.000. Si querés corte de pelo y barba, el precio es $17.000. ¿Te gustaría reservar un turno o necesitás más info?"
L24,549261*****24,2026-08-14T20:11:12.224777Z,LEAD,"ok gracias, después paso"
L25,549261*****25,2026-08-18T19:03:29.973402Z,LEAD,hola
L26,549261*****26,2026-08-21T20:57:14.690171Z,LEAD,"Hola, tengo el pelo muy largo y rulos, hacen ese tipo de corte?"
L26,549261*****26,2026-08-21T20:57:14.725247Z,BOT,"Hola, ¿cómo estás? ¿En qué te puedo ayudar hoy con tu consulta sobre nuestra barbería?"
L26,549261*****26,2026-08-21T20:58:08.729564Z,LEAD,"es corte de tijera, con forma, no maquina"
L26,549261*****26,2026-08-21T20:58:08.753314Z,BOT,"Sí, hacemos corte de tijera con forma. Es corte de pelo, $14.000."
L26,549261*****26,2026-08-21T21:13:44.946651Z,LEAD,y me lo puede hacer una persona con experiencia en rulos?
L26,549261*****26,2026-08-21T21:22:11.918379Z,HUMANO,"Hola Paula, soy Diego. Sí, hago corte en rizado. ¿Querés que te reserve?"
L26,549261*****26,2026-08-21T21:35:55.715957Z,LEAD,"sí, la semana que viene"
L26,549261*****26,2026-08-21T22:03:46.599045Z,HUMANO,Genial. Pasame tu DNI y vemos el día.
L26,549261*****26,2026-08-21T22:07:42.135011Z,LEAD,mañana te confirmo bien el día
